DeviceType_system_name,DeviceName_corrected,Physical Size,dimensions,Screen Resolution,display,sim,processor,ram,battery,weight
iPhone 11,iPhone 11,"6.1""",150.9 x 75.7 x 8.3 mm,828 x 1792,Liquid Retina HD display,"Dual Sim, 3G, 4G, VoLTE, Wi-Fi, NFC","A13 Bionic, Hexa Core, 2.65 GHz","4 GB RAM, 64 GB/128 GB/256 GB",3110 mAh,194 g
iPhone 11 Pro,iPhone 11 Pro,"5.8""",144 x 71.4 x 8.1 mm,1125 x 2436,Super Retina XDR display,"Dual Sim, 3G, 4G, VoLTE, Wi-Fi, NFC","A13 Bionic, Hexa Core, 2.65 GHz","4 GB RAM, 64 GB/256 GB/512 GB",3046 mAh,188 g
iPhone 11 Pro Max,iPhone 11 Pro Max,"6.5""",158 x 77.8 x 8.1 mm,1242 x 2688,Super Retina XDR display,"Dual Sim, 3G, 4G, VoLTE, Wi-Fi, NFC","A13 Bionic, Hexa Core, 2.65 GHz","4 GB RAM, 64 GB/256 GB/512 GB",3969 mAh,226 g
iPhone 12,iPhone 12,"6.1""",146.7 x 71.5 x 7.4 mm,1170 x 2532,Super Retina XDR display,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","A14 Bionic, Hexa Core, 3.1 GHz","4 GB RAM, 64 GB/128 GB/256 GB",2815 mAh,164 g
iPhone 12 mini,iPhone 12 mini,"5.4""",131.5 x 64.2 x 7.4 mm,1080 x 2340,Super Retina XDR display,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","A14 Bionic, Hexa Core, 3.1 GHz","4 GB RAM, 64 GB/128 GB/256 GB",2227 mAh,135 g
iPhone 12 Pro,iPhone 12 Pro,"6.1""",146.7 x 71.5 x 7.4 mm,1170 x 2532,Super Retina XDR display,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","A14 Bionic, Hexa Core, 3.1 GHz","6 GB RAM, 128 GB/256 GB/512 GB",2815 mAh,189 g
iPhone 12 Pro Max,iPhone 12 Pro Max,"6.7""",160.8 x 78.1 x 7.4 mm,1284 x 2778,Super Retina XDR display,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","A14 Bionic, Hexa Core, 3.1 GHz","6 GB RAM, 128 GB/256 GB/512 GB",3687 mAh,228 g
iPhone 13,iPhone 13,"6.1""",146.7 x 71.5 x 7.6 mm,1170 x 2532,Super Retina XDR display,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","A15 Bionic, Hexa Core, 3.2 GHz","4 GB RAM, 128 GB/256 GB/512 GB",3240 mAh,174 g
iPhone 13 mini,iPhone 13 mini,"5.4""",131.5 x 64.2 x 7.7 mm,1080 x 2340,Super Retina XDR display,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","A15 Bionic, Hexa Core, 3.2 GHz","4 GB RAM, 128 GB/256 GB/512 GB",2438 mAh,140 g
iPhone 13 Pro,iPhone 13 Pro,"6.1""",146.7 x 71.5 x 7.7 mm,1170 x 2532,Super Retina XDR display,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","A15 Bionic, Hexa Core, 3.2 GHz","6 GB RAM, 128 GB/256 GB/512 GB/1 TB",3095 mAh,204 g
